bed_id,room_number,ward_name,ward_type,bed_type,hospital_id,department_id,is_isolation_capable,is_active,update_ts
H001-D04-004,101,ORTH-MED,Med-Surg,Standard,H001,H001-D04,1,1,2024-01-01 03:00:00
H001-D05-001,100,OBST-MAT,Maternity,Telemetry,H001,H001-D05,0,1,2024-01-01 03:00:00
H001-D05-002,100,OBST-MAT,Maternity,Standard,H001,H001-D05,0,1,2024-01-01 03:00:00
H001-D05-003,101,OBST-MAT,Maternity,Standard,H001,H001-D05,0,1,2024-01-01 03:00:00
H001-D05-004,101,OBST-MAT,Maternity,Telemetry,H001,H001-D05,0,1,2024-01-01 03:00:00
H001-D06-001,100,PAED-MED,Med-Surg,Standard,H001,H001-D06,1,1,2024-01-01 03:00:00
H001-D06-003,101,PAED-MED,Med-Surg,Standard,H001,H001-D06,0,1,2024-01-01 03:00:00
H001-D07-001,100,ONCO-MED,Med-Surg,Standard,H001,H001-D07,0,1,2024-01-01 03:00:00
H001-D07-002,100,ONCO-MED,Med-Surg,Telemetry,H001,H001-D07,0,1,2024-01-01 03:00:00
H001-D07-003,101,ONCO-MED,Med-Surg,Telemetry,H001,H001-D07,0,1,2024-01-01 03:00:00
H001-D07-004,101,ONCO-MED,Med-Surg,Bariatric,H001,H001-D07,0,1,2024-01-01 03:00:00
H001-D08-001,100,NEUR-MED,Med-Surg,Standard,H001,H001-D08,0,1,2024-01-01 03:00:00
H001-D08-002,100,NEUR-MED,Med-Surg,Standard,H001,H001-D08,0,1,2024-01-01 03:00:00
H001-D08-003,101,NEUR-MED,Med-Surg,Standard,H001,H001-D08,1,1,2024-01-01 03:00:00
H001-D08-004,101,NEUR-MED,Med-Surg,Standard,H001,H001-D08,0,1,2024-01-01 03:00:00
H001-D09-001,100,RESP-MED,Med-Surg,Standard,H001,H001-D09,0,1,2024-01-01 03:00:00
H001-D09-002,100,RESP-MED,Med-Surg,Bariatric,H001,H001-D09,0,1,2024-01-01 03:00:00
H001-D09-003,101,RESP-MED,Med-Surg,Standard,H001,H001-D09,0,1,2024-01-01 03:00:00
H001-D09-004,101,RESP-MED,Med-Surg,Bariatric,H001,H001-D09,0,1,2024-01-01 03:00:00
H001-D10-001,100,REHA-REH,Rehab,Telemetry,H001,H001-D10,0,1,2024-01-01 03:00:00
H001-D10-002,100,REHA-REH,Rehab,Standard,H001,H001-D10,0,1,2024-01-01 03:00:00
H001-D10-003,101,REHA-REH,Rehab,Standard,H001,H001-D10,0,1,2024-01-01 03:00:00
H001-D10-004,101,REHA-REH,Rehab,Standard,H001,H001-D10,0,1,2024-01-01 03:00:00
H002-D01-001,100,CARD-MED,Med-Surg,Telemetry,H002,H002-D01,0,1,2024-01-01 03:00:00
H002-D01-002,100,CARD-MED,Med-Surg,Standard,H002,H002-D01,0,1,2024-01-01 03:00:00
H002-D01-003,101,CARD-MED,Med-Surg,Telemetry,H002,H002-D01,0,1,2024-01-01 03:00:00
H002-D02-001,100,GENE-MED,Med-Surg,Standard,H002,H002-D02,0,1,2024-01-01 03:00:00
H002-D02-002,100,GENE-MED,Med-Surg,Bariatric,H002,H002-D02,0,1,2024-01-01 03:00:00
H002-D02-003,101,GENE-MED,Med-Surg,Standard,H002,H002-D02,0,1,2024-01-01 03:00:00
H002-D03-001,100,INTE-ICU,ICU,ICU,H002,H002-D03,1,1,2024-01-01 03:00:00
H002-D03-002,100,INTE-ICU,ICU,ICU,H002,H002-D03,1,1,2024-01-01 03:00:00
H002-D04-001,100,ORTH-MED,Med-Surg,Standard,H002,H002-D04,1,1,2024-01-01 03:00:00
H002-D04-002,100,ORTH-MED,Med-Surg,Standard,H002,H002-D04,0,1,2024-01-01 03:00:00
H002-D04-003,101,ORTH-MED,Med-Surg,Telemetry,H002,H002-D04,0,1,2024-01-01 03:00:00
H002-D05-001,100,OBST-MAT,Maternity,Bariatric,H002,H002-D05,0,1,2024-01-01 03:00:00
H002-D05-002,100,OBST-MAT,Maternity,Bariatric,H002,H002-D05,0,1,2024-01-01 03:00:00
H002-D05-003,101,OBST-MAT,Maternity,Bariatric,H002,H002-D05,0,1,2024-01-01 03:00:00
H002-D06-001,100,PAED-MED,Med-Surg,Standard,H002,H002-D06,0,1,2024-01-01 03:00:00
H002-D06-002,100,PAED-MED,Med-Surg,Standard,H002,H002-D06,0,1,2024-01-01 03:00:00
H002-D06-003,101,PAED-MED,Med-Surg,Bariatric,H002,H002-D06,0,1,2024-01-01 03:00:00
H002-D07-001,100,ONCO-MED,Med-Surg,Standard,H002,H002-D07,0,1,2024-01-01 03:00:00
H002-D07-002,100,ONCO-MED,Med-Surg,Telemetry,H002,H002-D07,0,1,2024-01-01 03:00:00
H002-D07-003,101,ONCO-MED,Med-Surg,Telemetry,H002,H002-D07,0,1,2024-01-01 03:00:00
H002-D08-002,100,NEUR-MED,Med-Surg,Bariatric,H002,H002-D08,1,1,2024-01-01 03:00:00
H002-D08-003,101,NEUR-MED,Med-Surg,Standard,H002,H002-D08,0,1,2024-01-01 03:00:00
H002-D09-001,100,RESP-MED,Med-Surg,Standard,H002,H002-D09,0,1,2024-01-01 03:00:00
H002-D09-002,100,RESP-MED,Med-Surg,Standard,H002,H002-D09,0,1,2024-01-01 03:00:00
H002-D09-003,101,RESP-MED,Med-Surg,Telemetry,H002,H002-D09,0,1,2024-01-01 03:00:00
H002-D10-001,100,REHA-REH,Rehab,Bariatric,H002,H002-D10,0,1,2024-01-01 03:00:00
H002-D10-002,100,REHA-REH,Rehab,Telemetry,H002,H002-D10,0,1,2024-01-01 03:00:00
H002-D10-003,101,REHA-REH,Rehab,Standard,H002,H002-D10,0,1,2024-01-01 03:00:00
H003-D01-001,100,CARD-MED,Med-Surg,Telemetry,H003,H003-D01,0,1,2024-01-01 03:00:00
H003-D01-002,100,CARD-MED,Med-Surg,Standard,H003,H003-D01,0,1,2024-01-01 03:00:00
H003-D02-001,100,GENE-MED,Med-Surg,Standard,H003,H003-D02,0,1,2024-01-01 03:00:00
H003-D02-002,100,GENE-MED,Med-Surg,Standard,H003,H003-D02,1,1,2024-01-01 03:00:00
H003-D03-001,100,INTE-STE,Step-Down,Bariatric,H003,H003-D03,1,1,2024-01-01 03:00:00
H003-D03-002,100,INTE-STE,Step-Down,Standard,H003,H003-D03,1,1,2024-01-01 03:00:00
H003-D04-001,100,ORTH-MED,Med-Surg,Standard,H003,H003-D04,0,1,2024-01-01 03:00:00
H003-D04-002,100,ORTH-MED,Med-Surg,Telemetry,H003,H003-D04,0,1,2024-01-01 03:00:00
H003-D05-001,100,OBST-MAT,Maternity,Standard,H003,H003-D05,0,1,2024-01-01 03:00:00
H003-D05-002,100,OBST-MAT,Maternity,Standard,H003,H003-D05,0,1,2024-01-01 03:00:00
H003-D06-001,100,PAED-MED,Med-Surg,Standard,H003,H003-D06,0,1,2024-01-01 03:00:00
H003-D06-002,100,PAED-MED,Med-Surg,Bariatric,H003,H003-D06,1,1,2024-01-01 03:00:00
H003-D07-001,100,ONCO-MED,Med-Surg,Standard,H003,H003-D07,0,1,2024-01-01 03:00:00
H003-D07-002,100,ONCO-MED,Med-Surg,Standard,H003,H003-D07,0,1,2024-01-01 03:00:00
H003-D08-001,100,NEUR-MED,Med-Surg,Bariatric,H003,H003-D08,0,1,2024-01-01 03:00:00
H003-D08-002,100,NEUR-MED,Med-Surg,Standard,H003,H003-D08,0,1,2024-01-01 03:00:00
H003-D09-001,100,RESP-MED,Med-Surg,Telemetry,H003,H003-D09,0,1,2024-01-01 03:00:00
H003-D10-001,100,REHA-REH,Rehab,Telemetry,H003,H003-D10,1,1,2024-01-01 03:00:00
H004-D03-001,100,INTE-STE,Step-Down,Standard,H004,H004-D03,1,1,2024-01-01 03:00:00
H004-D03-002,100,INTE-STE,Step-Down,Standard,H004,H004-D03,1,1,2024-01-01 03:00:00
H004-D03-003,101,INTE-STE,Step-Down,Standard,H004,H004-D03,1,1,2024-01-01 03:00:00
H004-D03-004,101,INTE-STE,Step-Down,Telemetry,H004,H004-D03,1,1,2024-01-01 03:00:00
H004-D03-005,102,INTE-STE,Step-Down,Standard,H004,H004-D03,1,1,2024-01-01 03:00:00
H004-D03-006,102,INTE-STE,Step-Down,Standard,H004,H004-D03,1,1,2024-01-01 03:00:00
H004-D10-001,100,REHA-REH,Rehab,Bariatric,H004,H004-D10,1,1,2024-01-01 03:00:00
H004-D10-002,100,REHA-REH,Rehab,Bariatric,H004,H004-D10,0,1,2024-01-01 03:00:00
H004-D10-003,101,REHA-REH,Rehab,Standard,H004,H004-D10,0,1,2024-01-01 03:00:00
H004-D10-004,101,REHA-REH,Rehab,Telemetry,H004,H004-D10,0,1,2024-01-01 03:00:00
H004-D10-005,102,REHA-REH,Rehab,Telemetry,H004,H004-D10,0,1,2024-01-01 03:00:00
H004-D10-006,102,REHA-REH,Rehab,Telemetry,H004,H004-D10,0,1,2024-01-01 03:00:00
